Helmet Conf,Vest Conf,Helmet Recall,Helmet Precision,Vest Recall,Vest Precision,Helmet HN FPs,Vest HN FPs,Video Helmet Det,Video Vest Det,Confirmed Violations,FPS
0.5,0.35,0.7981,0.9544,0.7529,0.7968,284,29,919,86,15,32.45
0.5,0.4,0.7981,0.9544,0.7161,0.8274,284,18,919,56,15,32.88
0.5,0.45,0.7981,0.9544,0.6897,0.8559,284,10,919,27,15,33.94
0.5,0.5,0.7981,0.9544,0.6529,0.8738,284,2,919,13,15,33.76
0.5,0.55,0.7981,0.9544,0.5989,0.8846,284,0,919,0,15,33.68
0.5,0.6,0.7981,0.9544,0.5506,0.9004,284,0,919,0,15,33.15
0.55,0.35,0.7741,0.9641,0.7529,0.7968,248,29,784,86,15,33.58
0.55,0.4,0.7741,0.9641,0.7161,0.8274,248,18,784,56,15,15.89
0.55,0.45,0.7741,0.9641,0.6897,0.8559,248,10,784,27,15,17.55
0.55,0.5,0.7741,0.9641,0.6529,0.8738,248,2,784,13,15,35.32
0.55,0.55,0.7741,0.9641,0.5989,0.8846,248,0,784,0,15,33.59
0.55,0.6,0.7741,0.9641,0.5506,0.9004,248,0,784,0,15,33.88
0.6,0.35,0.7458,0.9717,0.7529,0.7968,211,29,646,86,15,33.49
0.6,0.4,0.7458,0.9717,0.7161,0.8274,211,18,646,56,15,33.36
0.6,0.45,0.7458,0.9717,0.6897,0.8559,211,10,646,27,15,34.19
0.6,0.5,0.7458,0.9717,0.6529,0.8738,211,2,646,13,15,33.37
0.6,0.55,0.7458,0.9717,0.5989,0.8846,211,0,646,0,15,33.21
0.6,0.6,0.7458,0.9717,0.5506,0.9004,211,0,646,0,15,33.48
0.65,0.35,0.7024,0.9795,0.7529,0.7968,154,29,471,86,15,33.35
0.65,0.4,0.7024,0.9795,0.7161,0.8274,154,18,471,56,15,33.68
0.65,0.45,0.7024,0.9795,0.6897,0.8559,154,10,471,27,15,33.69
0.65,0.5,0.7024,0.9795,0.6529,0.8738,154,2,471,13,15,30.47
0.65,0.55,0.7024,0.9795,0.5989,0.8846,154,0,471,0,15,33.17
0.65,0.6,0.7024,0.9795,0.5506,0.9004,154,0,471,0,15,32.88
0.7,0.35,0.6286,0.9855,0.7529,0.7968,101,29,296,86,15,32.57
0.7,0.4,0.6286,0.9855,0.7161,0.8274,101,18,296,56,15,33.71
0.7,0.45,0.6286,0.9855,0.6897,0.8559,101,10,296,27,15,33.37
0.7,0.5,0.6286,0.9855,0.6529,0.8738,101,2,296,13,15,33.4
0.7,0.55,0.6286,0.9855,0.5989,0.8846,101,0,296,0,15,33.36
0.7,0.6,0.6286,0.9855,0.5506,0.9004,101,0,296,0,15,33.18
