event_id,person_id,timestamp,zone,missing_ppe,confidence,evidence_path,evidence_exists
9b122a71,1,2026-08-09T21:48:06,construction,vest,0.5,edgevision_v2/outputs/evidence/9b122a71.jpg,True
b1001803,2,2026-08-09T21:48:06,construction,,0.5,edgevision_v2/outputs/evidence/b1001803.jpg,True
3da86398,3,2026-08-09T21:48:06,construction,vest,0.5,edgevision_v2/outputs/evidence/3da86398.jpg,True
19d67517,5,2026-08-09T21:48:06,construction,helmet|vest,0.5,edgevision_v2/outputs/evidence/19d67517.jpg,True
bf955c32,6,2026-08-09T21:48:06,construction,helmet|vest,0.5,edgevision_v2/outputs/evidence/bf955c32.jpg,True
e209d169,11,2026-08-09T21:48:06,construction,vest,0.53,edgevision_v2/outputs/evidence/e209d169.jpg,True
2d439745,12,2026-08-09T21:48:07,construction,helmet|vest,0.61,edgevision_v2/outputs/evidence/2d439745.jpg,True
c2f7a2f2,31,2026-08-09T21:48:08,construction,vest,0.46,edgevision_v2/outputs/evidence/c2f7a2f2.jpg,True
3d0b009e,8,2026-08-09T21:48:08,construction,vest,0.49,edgevision_v2/outputs/evidence/3d0b009e.jpg,True
cf40a1c8,35,2026-08-09T21:48:08,construction,vest,0.51,edgevision_v2/outputs/evidence/cf40a1c8.jpg,True
6753f32c,40,2026-08-09T21:48:10,construction,vest,0.56,edgevision_v2/outputs/evidence/6753f32c.jpg,True
6e051e6c,47,2026-08-09T21:48:10,construction,helmet|vest,0.49,edgevision_v2/outputs/evidence/6e051e6c.jpg,True
39f3f2c0,65,2026-08-09T21:48:12,construction,vest,0.59,edgevision_v2/outputs/evidence/39f3f2c0.jpg,True
c9d59aeb,72,2026-08-09T21:48:14,construction,helmet|vest,0.63,edgevision_v2/outputs/evidence/c9d59aeb.jpg,True
4c500c76,70,2026-08-09T21:48:14,construction,vest,0.63,edgevision_v2/outputs/evidence/4c500c76.jpg,True
