ppe_id,ppe_class,person_id,score
0,helmet,1,0.0
0,helmet,2,0.7949000000953674
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
1,no_helmet,1,0.5404999852180481
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.0
1,no_helmet,6,0.0
1,no_helmet,8,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5059000253677368
2,no_helmet,6,0.0
2,no_helmet,8,0.0
0,helmet,1,0.0
0,helmet,2,0.7975999712944031
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
1,no_helmet,1,0.5382999777793884
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.0
1,no_helmet,6,0.0
1,no_helmet,8,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5067999958992004
2,no_helmet,6,0.0
2,no_helmet,8,0.0
0,helmet,1,0.0
0,helmet,2,0.7954999804496765
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5034999847412109
1,no_helmet,6,0.0
1,no_helmet,8,0.0
2,vest,1,0.0
2,vest,2,0.8349999785423279
2,vest,3,0.0
2,vest,5,0.0
2,vest,6,0.0
2,vest,8,0.0
3,no_helmet,1,0.5375999808311462
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,6,0.0
3,no_helmet,8,0.0
0,helmet,1,0.0
0,helmet,2,0.7972000241279602
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.510200023651123
1,no_helmet,6,0.0
1,no_helmet,8,0.0
2,no_helmet,1,0.5404999852180481
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,8,0.0
3,no_helmet,1,0.0
3,no_helmet,2,0.5396000146865845
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,6,0.0
3,no_helmet,8,0.0
0,helmet,1,0.0
0,helmet,2,0.7985000014305115
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
0,helmet,10,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5149999856948853
1,no_helmet,6,0.0
1,no_helmet,8,0.0
1,no_helmet,10,0.0
2,no_helmet,1,0.5486000180244446
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,6,0.0
2,no_helmet,8,0.0
2,no_helmet,10,0.0
0,helmet,1,0.0
0,helmet,2,0.8022000193595886
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
1,helmet,1,0.0
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,8,0.842199981212616
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5221999883651733
2,no_helmet,6,0.0
2,no_helmet,8,0.0
0,helmet,1,0.8040000200271606
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.0
0,helmet,11,0.0
1,helmet,1,0.0
1,helmet,2,0.8044000267982483
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,8,0.0
1,helmet,11,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5295000076293945
2,no_helmet,6,0.0
2,no_helmet,8,0.0
2,no_helmet,11,0.0
0,helmet,1,0.8492000102996826
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.0
1,helmet,1,0.7876999974250793
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,6,0.0
1,helmet,11,0.0
2,helmet,1,0.0
2,helmet,2,0.0
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,6,0.0
2,helmet,11,0.7680000066757202
3,no_helmet,1,0.0
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.5336999893188477
3,no_helmet,6,0.0
3,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,8,0.7796000242233276
0,helmet,11,0.7621999979019165
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5353000164031982
1,no_helmet,6,0.0
1,no_helmet,8,0.0
1,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.769599974155426
1,no_helmet,1,0.5461000204086304
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.0
1,no_helmet,6,0.0
1,no_helmet,11,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5389999747276306
2,no_helmet,6,0.0
2,no_helmet,11,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,6,0.0
0,helmet,11,0.777899980545044
1,no_helmet,1,0.0
1,no_helmet,2,0.0
