frame,person_id,conf,track_len,is_valid,reject_reason
1,1,0.903,1,False,Unstable_Track
1,2,0.793,1,False,Unstable_Track
1,3,0.791,1,False,Unstable_Track
1,4,0.717,1,False,Unstable_Track
1,5,0.677,1,False,Unstable_Track
1,6,0.628,1,False,Unstable_Track
1,7,0.534,1,False,Unstable_Track
1,8,0.475,1,False,Unstable_Track
2,1,0.897,2,False,Unstable_Track
2,2,0.783,2,False,Unstable_Track
2,3,0.793,2,False,Unstable_Track
2,4,0.708,2,False,Unstable_Track
2,5,0.676,2,False,Unstable_Track
2,6,0.6,2,False,Unstable_Track
2,7,0.462,2,False,Unstable_Track
2,8,0.545,2,False,Unstable_Track
3,1,0.9,3,False,Unstable_Track
3,2,0.818,3,False,Unstable_Track
3,3,0.755,3,False,Unstable_Track
3,4,0.624,3,False,Unstable_Track
3,5,0.707,3,False,Unstable_Track
3,6,0.553,3,False,Unstable_Track
3,8,0.559,3,False,Unstable_Track
4,1,0.901,4,False,Unstable_Track
4,2,0.829,4,False,Unstable_Track
4,3,0.732,4,False,Unstable_Track
4,4,0.336,4,False,Low_Conf
4,5,0.746,4,False,Unstable_Track
4,6,0.603,4,False,Unstable_Track
4,8,0.623,4,False,Unstable_Track
5,1,0.901,5,True,Valid
5,2,0.822,5,True,Valid
5,3,0.758,5,True,Valid
5,5,0.755,5,True,Valid
5,6,0.633,5,True,Valid
5,8,0.606,5,True,Valid
5,10,0.478,1,False,Unstable_Track
6,1,0.891,6,True,Valid
6,2,0.825,6,True,Valid
6,3,0.781,6,True,Valid
6,5,0.772,6,True,Valid
6,6,0.653,6,True,Valid
6,8,0.579,6,True,Valid
6,10,0.507,2,False,Unstable_Track
6,11,0.362,1,False,Unstable_Track
7,1,0.884,7,True,Valid
7,2,0.825,7,True,Valid
7,3,0.804,7,True,Valid
7,5,0.762,7,True,Valid
7,6,0.624,7,True,Valid
7,8,0.518,7,True,Valid
7,10,0.553,3,False,Unstable_Track
7,11,0.328,2,False,Low_Conf
8,1,0.886,8,True,Valid
8,2,0.851,8,True,Valid
8,3,0.845,8,True,Valid
8,5,0.741,8,True,Valid
8,6,0.625,8,True,Valid
8,8,0.475,8,True,Valid
8,10,0.544,4,False,Unstable_Track
8,11,0.283,3,False,Low_Conf
9,1,0.879,9,True,Valid
9,2,0.848,9,True,Valid
9,3,0.853,9,True,Valid
9,5,0.745,9,True,Valid
9,6,0.636,9,True,Valid
9,8,0.442,9,True,Valid
9,10,0.527,5,True,Valid
10,1,0.898,10,True,Valid
10,2,0.858,10,True,Valid
10,3,0.851,10,True,Valid
10,5,0.743,10,True,Valid
10,6,0.587,10,True,Valid
10,8,0.523,10,True,Valid
10,11,0.549,4,False,Unstable_Track
11,1,0.889,11,True,Valid
11,2,0.871,11,True,Valid
11,3,0.826,11,True,Valid
11,5,0.748,11,True,Valid
11,6,0.577,11,True,Valid
11,8,0.436,11,True,Valid
11,11,0.566,5,True,Valid
12,1,0.882,12,True,Valid
12,2,0.872,12,True,Valid
12,3,0.853,12,True,Valid
12,5,0.793,12,True,Valid
12,6,0.565,12,True,Valid
12,8,0.338,12,False,Low_Conf
12,11,0.608,6,True,Valid
13,1,0.852,13,True,Valid
13,2,0.884,13,True,Valid
13,3,0.872,13,True,Valid
13,5,0.801,13,True,Valid
13,6,0.537,13,True,Valid
13,8,0.376,13,True,Valid
13,11,0.635,7,True,Valid
13,12,0.328,1,False,Low_Conf
14,1,0.902,14,True,Valid
14,2,0.883,14,True,Valid
14,3,0.877,14,True,Valid
14,5,0.816,14,True,Valid
14,6,0.486,14,True,Valid
14,8,0.276,14,False,Low_Conf
14,11,0.649,8,True,Valid
14,12,0.451,2,False,Unstable_Track
15,1,0.9,15,True,Valid
15,2,0.879,15,True,Valid
15,3,0.881,15,True,Valid
15,5,0.806,15,True,Valid
15,6,0.487,15,True,Valid
15,8,0.264,15,False,Low_Conf
15,11,0.618,9,True,Valid
15,12,0.463,3,False,Unstable_Track
