frame,person_id,reason,category
1,1,Unstable_Track,unstable detection
1,2,Unstable_Track,unstable detection
1,3,Unstable_Track,unstable detection
1,4,Unstable_Track,unstable detection
1,5,Unstable_Track,unstable detection
1,6,Unstable_Track,unstable detection
1,7,Unstable_Track,unstable detection
1,8,Unstable_Track,unstable detection
2,1,Unstable_Track,unstable detection
2,2,Unstable_Track,unstable detection
2,3,Unstable_Track,unstable detection
2,4,Unstable_Track,unstable detection
2,5,Unstable_Track,unstable detection
2,6,Unstable_Track,unstable detection
2,7,Unstable_Track,unstable detection
2,8,Unstable_Track,unstable detection
3,1,Unstable_Track,unstable detection
3,2,Unstable_Track,unstable detection
3,3,Unstable_Track,unstable detection
3,4,Unstable_Track,unstable detection
3,5,Unstable_Track,unstable detection
3,6,Unstable_Track,unstable detection
3,8,Unstable_Track,unstable detection
4,1,Unstable_Track,unstable detection
4,2,Unstable_Track,unstable detection
4,3,Unstable_Track,unstable detection
4,4,Low_Conf,low confidence
4,5,Unstable_Track,unstable detection
4,6,Unstable_Track,unstable detection
4,8,Unstable_Track,unstable detection
5,10,Unstable_Track,unstable detection
6,10,Unstable_Track,unstable detection
6,11,Unstable_Track,unstable detection
7,10,Unstable_Track,unstable detection
7,11,Low_Conf,low confidence
8,10,Unstable_Track,unstable detection
8,11,Low_Conf,low confidence
10,11,Unstable_Track,unstable detection
12,8,Low_Conf,low confidence
13,12,Low_Conf,low confidence
14,8,Low_Conf,low confidence
14,12,Unstable_Track,unstable detection
15,8,Low_Conf,low confidence
15,12,Unstable_Track,unstable detection
16,12,Low_Conf,low confidence
18,12,Low_Conf,low confidence
19,12,Low_Conf,low confidence
20,14,Unstable_Track,unstable detection
23,8,Low_Conf,low confidence
24,19,Unstable_Track,unstable detection
25,19,Unstable_Track,unstable detection
25,8,Low_Conf,low confidence
26,22,Unstable_Track,unstable detection
27,22,Unstable_Track,unstable detection
28,22,Low_Conf,low confidence
28,24,Unstable_Track,unstable detection
29,22,Low_Conf,low confidence
29,24,Unstable_Track,unstable detection
31,8,Low_Conf,low confidence
32,8,Low_Conf,low confidence
33,22,Low_Conf,low confidence
34,12,Low_Conf,low confidence
35,12,Low_Conf,low confidence
36,12,Low_Conf,low confidence
38,31,Unstable_Track,unstable detection
38,32,Low_Conf,low confidence
39,31,Unstable_Track,unstable detection
39,32,Unstable_Track,unstable detection
39,22,Low_Conf,low confidence
40,31,Unstable_Track,unstable detection
40,22,Low_Conf,low confidence
41,12,Low_Conf,low confidence
41,31,Unstable_Track,unstable detection
41,6,Low_Conf,low confidence
42,22,Low_Conf,low confidence
42,6,Low_Conf,low confidence
43,6,Low_Conf,low confidence
44,6,Low_Conf,low confidence
44,12,Low_Conf,low confidence
46,12,Low_Conf,low confidence
46,6,Low_Conf,low confidence
47,12,Low_Conf,low confidence
47,35,Unstable_Track,unstable detection
47,24,Unstable_Track,unstable detection
48,12,Low_Conf,low confidence
48,35,Unstable_Track,unstable detection
48,24,Unstable_Track,unstable detection
49,12,Low_Conf,low confidence
49,35,Unstable_Track,unstable detection
49,6,Low_Conf,low confidence
50,35,Unstable_Track,unstable detection
51,12,Low_Conf,low confidence
52,40,Unstable_Track,unstable detection
53,40,Unstable_Track,unstable detection
54,40,Unstable_Track,unstable detection
55,40,Unstable_Track,unstable detection
61,22,Low_Conf,low confidence
64,40,Low_Conf,low confidence
69,12,Low_Conf,low confidence
70,45,Unstable_Track,unstable detection
71,12,Low_Conf,low confidence
71,45,Unstable_Track,unstable detection
72,45,Unstable_Track,unstable detection
73,45,Unstable_Track,unstable detection
74,6,Low_Conf,low confidence
81,6,Low_Conf,low confidence
82,6,Low_Conf,low confidence
84,45,Low_Conf,low confidence
85,45,Low_Conf,low confidence
85,6,Low_Conf,low confidence
86,6,Low_Conf,low confidence
88,40,Low_Conf,low confidence
89,47,Invalid_Aspect,implausible aspect ratio / likely poster
90,47,Invalid_Aspect,implausible aspect ratio / likely poster
91,8,Low_Conf,low confidence
91,47,Invalid_Aspect,implausible aspect ratio / likely poster
92,47,Invalid_Aspect,implausible aspect ratio / likely poster
93,8,Low_Conf,low confidence
93,47,Invalid_Aspect,implausible aspect ratio / likely poster
94,47,Invalid_Aspect,implausible aspect ratio / likely poster
95,47,Invalid_Aspect,implausible aspect ratio / likely poster
96,47,Invalid_Aspect,implausible aspect ratio / likely poster
96,53,Invalid_Aspect,implausible aspect ratio / likely poster
97,47,Invalid_Aspect,implausible aspect ratio / likely poster
98,47,Invalid_Aspect,implausible aspect ratio / likely poster
99,47,Invalid_Aspect,implausible aspect ratio / likely poster
100,47,Invalid_Aspect,implausible aspect ratio / likely poster
101,47,Invalid_Aspect,implausible aspect ratio / likely poster
104,8,Low_Conf,low confidence
112,12,Low_Conf,low confidence
117,65,Unstable_Track,unstable detection
118,65,Unstable_Track,unstable detection
119,65,Unstable_Track,unstable detection
120,65,Unstable_Track,unstable detection
129,12,Low_Conf,low confidence
140,12,Low_Conf,low confidence
153,12,Low_Conf,low confidence
161,70,Unstable_Track,unstable detection
162,70,Unstable_Track,unstable detection
162,72,Low_Conf,low confidence
163,70,Unstable_Track,unstable detection
163,72,Unstable_Track,unstable detection
164,70,Unstable_Track,unstable detection
164,72,Unstable_Track,unstable detection
165,40,Low_Conf,low confidence
165,72,Unstable_Track,unstable detection
166,40,Low_Conf,low confidence
182,75,Unstable_Track,unstable detection
184,78,Unstable_Track,unstable detection
186,70,Low_Conf,low confidence
186,75,Unstable_Track,unstable detection
187,81,Low_Conf,low confidence
187,75,Unstable_Track,unstable detection
188,81,Low_Conf,low confidence
188,75,Unstable_Track,unstable detection
189,85,Low_Conf,low confidence
190,85,Low_Conf,low confidence
194,75,Low_Conf,low confidence
194,81,Low_Conf,low confidence
195,31,Low_Conf,low confidence
196,81,Low_Conf,low confidence
198,81,Low_Conf,low confidence
199,81,Low_Conf,low confidence
200,81,Low_Conf,low confidence
211,88,Unstable_Track,unstable detection
212,88,Unstable_Track,unstable detection
213,88,Unstable_Track,unstable detection
214,88,Unstable_Track,unstable detection
215,90,Unstable_Track,unstable detection
216,90,Unstable_Track,unstable detection
216,81,Low_Conf,low confidence
217,90,Unstable_Track,unstable detection
218,90,Unstable_Track,unstable detection
218,81,Low_Conf,low confidence
219,81,Low_Conf,low confidence
