id,type,category
0,boots,shoes
1,boots,shoes
2,boots,shoes
3,boots,shoes
4,boots,shoes
5,boots,shoes
6,boots,shoes
7,boots,shoes
8,boots,shoes
9,boots,shoes
10,boots,shoes
11,boots,shoes
12,boots,shoes
13,boots,shoes
14,boots,shoes
15,boots,shoes
16,boots,shoes
17,boots,shoes
18,boots,shoes
19,boots,shoes
20,boots,shoes
21,boots,shoes
22,boots,shoes
23,boots,shoes
24,boots,shoes
25,boots,dark objects
26,boots,dark objects
27,boots,dark objects
28,boots,dark objects
29,boots,dark objects
30,boots,dark objects
31,boots,dark objects
32,boots,dark objects
33,boots,dark objects
34,boots,dark objects
35,boots,background
36,boots,background
37,boots,background
38,boots,background
39,boots,background
40,boots,genuine boots
41,boots,genuine boots
42,boots,genuine boots
43,boots,genuine boots
44,boots,construction equipment
45,boots,construction equipment
0,helmet,background_machinery
1,helmet,background_machinery
2,helmet,background_machinery
3,helmet,background_machinery
4,helmet,background_machinery
0,vest,yellow_equipment
1,vest,yellow_equipment
2,vest,yellow_equipment
