Metric,V2 Baseline,V3-HN
precision,0.837934860865428,0.8509449959933276
recall,0.7941436261896029,0.7915696407695023
mAP50,0.844464158459795,0.8419550200415561
mAP50_95,0.5012485264777344,0.4876705732884997
helmet_precision,0.9115509044868362,0.9106932097248072
helmet_recall,0.8455815365927726,0.8232614637109019
helmet_AP50,0.9015340108699138,0.886479855232455
helmet_AP50_95,0.5760361598638358,0.555592854454052
no_helmet_precision,0.8188633734253565,0.8535222880845671
no_helmet_recall,0.7701826753093695,0.8138626988803771
no_helmet_AP50,0.8081166946340046,0.841718486346898
no_helmet_AP50_95,0.39936108976209106,0.416382014367117
vest_precision,0.7833903046840912,0.788619490170609
vest_recall,0.7666666666666667,0.7375847597172277
vest_AP50,0.8237417698754665,0.7976667185453152
vest_AP50_95,0.5283483298072761,0.49103685104433004
Neg Video: total_frames,221.0,221.0
Neg Video: helmet_detections,471.0,0.0
Neg Video: vest_detections,27.0,0.0
Neg Video: person_detections,1955.0,1948.0
Neg Video: ppe_associations,1036.0,0.0
Neg Video: association_failures,59.0,0.0
Neg Video: confirmed_violations,14.0,14.0
Neg Video: duplicate_events,0.0,0.0
Neg Video: empty_missing_ppe_events,0.0,0.0
Neg Video: average_fps,23.996183195417416,16.21452250534105
Neg Video: warm_fps,24.349231559216445,16.181910686894387
Neg Video: p95_latency,70.35759999416769,144.56970000173897
Pos Video: unique_people,49.0,49.0
Pos Video: people_with_helmet,34.0,37.0
Pos Video: people_with_vest,35.0,38.0
Pos Video: people_with_both,30.0,36.0
Pos Video: helmet_detection_rate,0.5862068965517241,0.6379310344827587
Pos Video: vest_detection_rate,0.6140350877192983,0.6666666666666666
Pos Video: confirmed_violations,10.0,4.0
Pos Video: false_violation_candidates,659.0,395.0
Pos Video: average_fps,25.071362655949727,14.956621814503663
Pos Video: warm_fps,25.22844403918749,14.933633496075213
Pos Video: p95_latency,64.95070998207663,170.58037499373307
Hard Negative: helmet_fp,154.0,0.0
Hard Negative: vest_fp,10.0,0.0
Hard Negative: total_fp,164.0,0.0
Performance (Neg): cold_fps,5.028959261851982,9.303043862245316
Performance (Neg): warm_fps,24.349231559216445,16.181910686894387
Performance (Neg): mean_frame_latency,41.67329411749829,61.673108145528225
Performance (Neg): p95_latency,70.35759999416769,144.56970000173897
