epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.525,1.71169,2.48736,1.66792,0.91213,0.30444,0.52476,0.26964,1.71317,2.63754,1.6631,0.000328125,0.000328125,0.000328125
2,473.7,1.63761,1.62637,1.55566,0.83529,0.48548,0.5728,0.28898,1.77279,1.84717,1.73289,0.000628716,0.000628716,0.000628716
3,705.881,1.58554,1.44286,1.52643,0.64487,0.59245,0.62349,0.31884,1.7226,1.60846,1.69623,0.000896307,0.000896307,0.000896307
4,937.334,1.58563,1.39834,1.52805,0.61837,0.52669,0.58543,0.30075,1.72219,1.62897,1.70371,0.0008515,0.0008515,0.0008515
5,1167.64,1.60581,1.38895,1.51996,0.85895,0.5473,0.63172,0.33335,1.66407,1.44224,1.65347,0.000802,0.000802,0.000802
6,1400.41,1.52148,1.26705,1.47864,0.77994,0.58012,0.6548,0.3423,1.67149,1.32158,1.64123,0.0007525,0.0007525,0.0007525
7,1627.21,1.52144,1.22704,1.45333,0.6914,0.6095,0.65808,0.35085,1.62824,1.20893,1.56752,0.000703,0.000703,0.000703
8,1858.59,1.51211,1.17905,1.44865,0.88254,0.57647,0.6526,0.3381,1.63157,1.19737,1.57834,0.0006535,0.0006535,0.0006535
9,2089.29,1.51228,1.17142,1.45262,0.88268,0.55545,0.66291,0.33122,1.7113,1.22044,1.6475,0.000604,0.000604,0.000604
10,2318.82,1.49237,1.1527,1.4497,0.64765,0.66451,0.69183,0.36533,1.59159,1.12641,1.54582,0.0005545,0.0005545,0.0005545
11,2544.57,1.42489,1.05631,1.44576,0.84405,0.60724,0.66608,0.35004,1.61047,1.13647,1.55187,0.000505,0.000505,0.000505
12,2770.91,1.44569,1.03139,1.45256,0.65992,0.71145,0.69783,0.36904,1.57516,1.08597,1.54003,0.0004555,0.0004555,0.0004555
13,2994.98,1.40152,0.977,1.42319,0.89889,0.59965,0.70178,0.37203,1.54743,1.07495,1.52821,0.000406,0.000406,0.000406
14,3220.49,1.38879,0.93341,1.42226,0.75693,0.70878,0.74206,0.4097,1.51296,0.99199,1.49626,0.0003565,0.0003565,0.0003565
15,3448.92,1.35323,0.91118,1.39931,0.64351,0.703,0.72017,0.38886,1.53248,1.00322,1.48706,0.000307,0.000307,0.000307
16,3674.48,1.33864,0.8826,1.37083,0.67523,0.69569,0.72063,0.39406,1.55091,0.97551,1.51633,0.0002575,0.0002575,0.0002575
17,3899.79,1.32333,0.85318,1.35926,0.71919,0.7041,0.74143,0.40453,1.54395,0.9625,1.51146,0.000208,0.000208,0.000208
18,4126.33,1.28147,0.81919,1.33998,0.68189,0.693,0.73113,0.40386,1.50472,0.92279,1.47052,0.0001585,0.0001585,0.0001585
19,4352.31,1.28154,0.81965,1.3426,0.63187,0.69539,0.71223,0.39411,1.52058,0.91919,1.47883,0.000109,0.000109,0.000109
20,4578.67,1.26432,0.80206,1.33149,0.65067,0.7108,0.72668,0.40873,1.49807,0.89853,1.47085,5.95e-05,5.95e-05,5.95e-05
