epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3053,1.51719,2.07679,1.51074,0.64568,0.51771,0.58846,0.31697,1.62215,2.04361,1.606,0.00033157,0.00033157,0.00033157
2,50.5061,1.49454,1.67456,1.49602,0.52663,0.5051,0.53297,0.26999,1.68518,2.2048,1.69941,0.00063199,0.00063199,0.00063199
3,72.2173,1.52343,1.54762,1.50298,0.69976,0.51781,0.61322,0.33382,1.58778,1.47319,1.57531,0.000899411,0.000899411,0.000899411
4,94.182,1.48097,1.41416,1.48401,0.77115,0.54509,0.5883,0.31674,1.56042,1.5678,1.56778,0.0008515,0.0008515,0.0008515
5,155.542,1.47236,1.31069,1.46039,0.67242,0.60041,0.68178,0.37714,1.58537,1.26551,1.53857,0.000802,0.000802,0.000802
6,219.805,1.41298,1.21812,1.42949,0.82043,0.60378,0.66947,0.37209,1.61626,1.31912,1.59444,0.0007525,0.0007525,0.0007525
7,263.301,1.39871,1.15693,1.41552,0.85314,0.58404,0.70703,0.39878,1.50968,1.16337,1.49763,0.000703,0.000703,0.000703
8,284.905,1.36782,1.11133,1.40379,0.68302,0.66509,0.70016,0.39953,1.50861,1.09094,1.49298,0.0006535,0.0006535,0.0006535
9,306.133,1.33297,1.06186,1.37296,0.9053,0.57805,0.71964,0.42611,1.41982,0.97632,1.43201,0.000604,0.000604,0.000604
10,327.879,1.32136,1.02572,1.36156,0.90416,0.62827,0.72747,0.42029,1.48252,0.99174,1.47653,0.0005545,0.0005545,0.0005545
11,382.452,1.28089,0.89997,1.37586,0.88292,0.59715,0.71652,0.41191,1.44247,1.02334,1.44315,0.000505,0.000505,0.000505
12,403.426,1.23163,0.83718,1.34952,0.90114,0.62871,0.75193,0.44578,1.38158,0.9296,1.40618,0.0004555,0.0004555,0.0004555
13,424.466,1.2092,0.80882,1.32746,0.74195,0.7146,0.76386,0.44881,1.38803,0.86659,1.39664,0.000406,0.000406,0.000406
14,445.441,1.19431,0.76113,1.31276,0.70248,0.76051,0.79236,0.46873,1.35748,0.83175,1.38091,0.0003565,0.0003565,0.0003565
15,466.391,1.15037,0.73108,1.28925,0.88567,0.64727,0.76225,0.45035,1.34995,0.8405,1.38808,0.000307,0.000307,0.000307
16,487.604,1.13589,0.70644,1.26961,0.71417,0.78206,0.79239,0.45804,1.35344,0.83459,1.37025,0.0002575,0.0002575,0.0002575
17,509.593,1.114,0.67845,1.25308,0.68639,0.75136,0.79146,0.47093,1.30531,0.81304,1.35292,0.000208,0.000208,0.000208
18,532.958,1.08245,0.65072,1.23279,0.74263,0.7784,0.78769,0.47179,1.30895,0.78469,1.35705,0.0001585,0.0001585,0.0001585
19,557.206,1.06267,0.63262,1.22788,0.75369,0.74652,0.78595,0.4711,1.30754,0.79641,1.35553,0.000109,0.000109,0.000109
20,581.618,1.03779,0.60805,1.20053,0.77712,0.75687,0.7869,0.47314,1.28933,0.77797,1.34569,5.95e-05,5.95e-05,5.95e-05
