epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7996,1.71387,2.53827,1.67312,0.91028,0.31423,0.5253,0.27624,1.69816,2.67847,1.62417,0.000328125,0.000328125,0.000328125
2,21.6332,1.60199,1.55437,1.51541,0.81872,0.49669,0.57331,0.29906,1.75667,1.90949,1.7127,0.000628716,0.000628716,0.000628716
3,30.3508,1.60357,1.46552,1.51814,0.56924,0.57036,0.52733,0.25782,1.86915,1.90288,1.77625,0.000896307,0.000896307,0.000896307
4,38.7657,1.56825,1.3796,1.50029,0.84334,0.49196,0.58623,0.30513,1.75223,1.52493,1.70542,0.0008515,0.0008515,0.0008515
5,47.0841,1.55697,1.32429,1.48466,0.62071,0.64365,0.65725,0.33221,1.70357,1.44558,1.65723,0.000802,0.000802,0.000802
6,55.7357,1.54528,1.27875,1.47594,0.71174,0.61566,0.67562,0.35056,1.66552,1.32024,1.62231,0.0007525,0.0007525,0.0007525
7,64.1124,1.49801,1.19646,1.44884,0.69848,0.60604,0.66311,0.33801,1.6557,1.21703,1.63224,0.000703,0.000703,0.000703
8,73.5126,1.51097,1.1697,1.44529,0.7279,0.59551,0.67734,0.35289,1.64161,1.2208,1.60667,0.0006535,0.0006535,0.0006535
9,83.8347,1.49144,1.13431,1.43612,0.7035,0.66157,0.69157,0.36821,1.63291,1.16052,1.591,0.000604,0.000604,0.000604
10,92.6587,1.47768,1.12794,1.43675,0.6884,0.6582,0.71216,0.37521,1.60875,1.1354,1.57031,0.0005545,0.0005545,0.0005545
11,137.15,1.46396,1.09036,1.481,0.86446,0.58362,0.70225,0.36462,1.60462,1.18893,1.56537,0.000505,0.000505,0.000505
12,145.488,1.41773,1.02366,1.44697,0.81691,0.59431,0.68293,0.36482,1.60782,1.11618,1.55885,0.0004555,0.0004555,0.0004555
13,154.288,1.40275,0.98929,1.44528,0.89745,0.58464,0.72546,0.39148,1.53926,1.06775,1.52559,0.000406,0.000406,0.000406
14,162.753,1.39118,0.97476,1.42797,0.90656,0.59764,0.70402,0.39356,1.55642,1.02099,1.51812,0.0003565,0.0003565,0.0003565
15,170.776,1.37564,0.90006,1.40857,0.67558,0.7003,0.73129,0.39899,1.52167,0.99685,1.49788,0.000307,0.000307,0.000307
16,178.878,1.33813,0.87463,1.38073,0.6751,0.7244,0.74816,0.4014,1.55619,0.97449,1.51217,0.0002575,0.0002575,0.0002575
17,187.253,1.31985,0.84856,1.3608,0.7144,0.72759,0.75873,0.41231,1.50599,0.94114,1.49141,0.000208,0.000208,0.000208
18,195.3,1.28419,0.81894,1.34544,0.69408,0.71182,0.75923,0.41849,1.48481,0.92175,1.47648,0.0001585,0.0001585,0.0001585
19,203.381,1.27583,0.80776,1.33958,0.74945,0.74122,0.76828,0.42539,1.47588,0.92046,1.46514,0.000109,0.000109,0.000109
20,211.45,1.2747,0.8024,1.33339,0.73025,0.73827,0.76676,0.42802,1.46544,0.90504,1.45396,5.95e-05,5.95e-05,5.95e-05
