epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9751,1.3804,2.50407,1.6415,0.9965,0.19143,0.23511,0.20297,1.32396,3.20886,1.67162,0.00032381,0.00032381,0.00032381
2,23.7542,0.8824,1.5125,1.24826,0.98656,0.24094,0.43367,0.28108,1.24681,2.46017,1.57436,0.000635457,0.000635457,0.000635457
3,34.4733,0.80734,1.27947,1.18155,0.87237,0.513,0.61187,0.42535,1.02306,1.74057,1.34996,0.000925105,0.000925105,0.000925105
4,43.0425,0.72469,1.07525,1.12881,0.66133,0.60223,0.68516,0.48468,0.90438,1.37989,1.28524,0.000901,0.000901,0.000901
5,51.946,0.66289,0.96197,1.0858,0.98556,0.57741,0.82961,0.57897,0.79742,1.14103,1.13954,0.000868,0.000868,0.000868
6,60.4595,0.623,0.88506,1.05356,0.97795,0.58183,0.76368,0.58965,0.66314,1.07015,1.04257,0.000835,0.000835,0.000835
7,68.7493,0.57131,0.81595,1.04809,0.88742,0.74535,0.82358,0.61783,0.6312,0.95259,1.0409,0.000802,0.000802,0.000802
8,77.1333,0.55595,0.76036,1.02449,0.94031,0.84543,0.93492,0.72418,0.5752,0.82564,1.03322,0.000769,0.000769,0.000769
9,85.5074,0.53086,0.70751,1.01417,0.89283,0.87276,0.942,0.68203,0.64532,0.77737,1.01579,0.000736,0.000736,0.000736
10,93.8045,0.51517,0.67403,1.00605,0.91227,0.89908,0.9567,0.77161,0.58171,0.71431,1.00026,0.000703,0.000703,0.000703
11,102.65,0.49563,0.63539,1.00009,0.90112,0.89503,0.95579,0.77137,0.51812,0.71943,0.99446,0.00067,0.00067,0.00067
12,111.523,0.499,0.61262,0.99473,0.95815,0.85387,0.95539,0.78148,0.56884,0.64246,0.97509,0.000637,0.000637,0.000637
13,119.85,0.48333,0.57703,0.98044,0.94415,0.93248,0.96841,0.82415,0.54333,0.65584,0.99137,0.000604,0.000604,0.000604
14,127.925,0.44899,0.5575,0.96907,0.93144,0.93113,0.96353,0.81622,0.4128,0.53583,0.91479,0.000571,0.000571,0.000571
15,136.21,0.42945,0.52035,0.95386,0.9768,0.88968,0.96645,0.84185,0.36974,0.53225,0.89051,0.000538,0.000538,0.000538
16,145.004,0.41888,0.51519,0.94809,0.97668,0.94911,0.97362,0.84224,0.42427,0.4905,0.91471,0.000505,0.000505,0.000505
17,153.346,0.42088,0.51032,0.95379,0.96184,0.94992,0.98232,0.84326,0.42657,0.48697,0.91012,0.000472,0.000472,0.000472
18,161.627,0.40806,0.47803,0.94676,0.9733,0.98204,0.98427,0.89416,0.34352,0.44228,0.87017,0.000439,0.000439,0.000439
19,169.803,0.38083,0.45444,0.92721,0.97391,0.97046,0.98574,0.88416,0.35892,0.42814,0.86727,0.000406,0.000406,0.000406
20,178.029,0.3729,0.43474,0.93185,0.96315,0.97191,0.98443,0.88673,0.32797,0.42589,0.86519,0.000373,0.000373,0.000373
21,221.769,0.43601,0.69543,0.98341,0.97786,0.96449,0.98699,0.88112,0.3538,0.43644,0.87662,0.00034,0.00034,0.00034
22,230.098,0.36428,0.5299,0.94303,0.9764,0.97264,0.98851,0.89753,0.32348,0.40858,0.84196,0.000307,0.000307,0.000307
23,238.139,0.3273,0.48886,0.93367,0.97763,0.97605,0.9887,0.90734,0.26498,0.34358,0.81343,0.000274,0.000274,0.000274
24,246.377,0.30833,0.45514,0.91659,0.97333,0.9762,0.99072,0.91259,0.27644,0.33505,0.82029,0.000241,0.000241,0.000241
25,254.805,0.30166,0.44922,0.92538,0.97552,0.97931,0.9907,0.92832,0.25171,0.31303,0.80146,0.000208,0.000208,0.000208
26,262.797,0.27807,0.40984,0.90165,0.97673,0.98318,0.99193,0.93446,0.23848,0.31033,0.80229,0.000175,0.000175,0.000175
27,270.795,0.27504,0.41769,0.91752,0.97736,0.98366,0.99211,0.94286,0.22094,0.29894,0.79048,0.000142,0.000142,0.000142
28,278.813,0.25531,0.38596,0.88395,0.97681,0.99153,0.99126,0.95486,0.22997,0.29905,0.78717,0.000109,0.000109,0.000109
29,286.86,0.23697,0.37819,0.89071,0.98466,0.98254,0.99289,0.96805,0.19695,0.28299,0.78028,7.6e-05,7.6e-05,7.6e-05
30,295.191,0.22457,0.36328,0.86318,0.98437,0.98693,0.99265,0.96877,0.18405,0.27063,0.77647,4.3e-05,4.3e-05,4.3e-05
